host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
kurashiki-collection.com,ae7aaefa-80d6-443a-bd76-65f572161bf9,倉敷コレクション,1de14145-edb5-478c-b827-90f31f6ffe9c,https://kurashiki-collection.com/profile?lid=1,ok,200,0,[],
kyokano.com,0dd27ff9-a12a-4090-af1b-f853556cd493,今日だけ彼女 (キョウカノ),3503b27e-3866-4c73-a1f8-470ee90bd51a,https://kyokano.com/profile.html?sid=14,ok,200,0,[],
kyoto-ryu.com,dc195a21-583b-4065-84f7-6a289adbc811,リュウの宅急便 旧スタイリッシュ,8927dd36-9c0e-4c1b-b16c-d8a1a1e220bb,https://kyoto-ryu.com/profile?id=75,ok,200,0,[],
l-madori2024-10-5-7-9.com,b51dc42b-a408-4ce1-b2ff-d69a52bddc2c,ルルマドリー,db275475-c3b7-4afa-922f-4b02829c2f7e,https://l-madori2024-10-5-7-9.com/therapist/694420/,ok,200,0,[],
lala.esthe-hp.com,beeba622-ee93-4394-9c3e-d9febfe87011,ララ (LaLa) 武蔵小金井,6d680df3-d78e-4c4c-8c02-a7213551badb,https://lala.esthe-hp.com/item_10030847.html,ok,200,0,[],
lancom.jp,a92dafa9-b736-4b21-acf6-7001491ca81f,ランコム,42954c97-1970-425a-b4cc-4bf196738b56,https://lancom.jp/list/profile/?uid=17,ok,200,0,[],
lapacesapporo.com,fd3fac49-6007-495c-ac93-d6e66449a804,ラ・パーチェ,aa91c5fc-0a55-479a-9267-76accff37fba,https://lapacesapporo.com/therapist/838039/,ok,200,0,[],
leon-menes.com,269fea93-b38f-4920-8ff0-d17108289561,レオン 北海道,a544f7d8-3d59-4c8a-9209-be700ca855ed,https://leon-menes.com/cast/2402/,fetch_error,,0,,fetch failed
leonmenes.com,269fea93-b38f-4920-8ff0-d17108289561,レオン 北海道,b8c6ef54-9f62-48f5-8d27-11250e0d15c3,https://leonmenes.com/therapist/730359/,ok,200,0,[],
li-viall.com,7e1f3f75-a101-4445-95e7-3f81be11372f,ルイヴィオール,fe20fe71-7e5c-459d-84f3-f2fb8bc4f9da,https://li-viall.com/casts/cast-6149/,ok,200,2,"[{""date"":""2026-05-27"",""shift_start"":""17:00:00"",""shift_end"":""23:00:00""},{""date"":""2027-05-22"",""shift_start"":""19:00:00"",""shift_end"":""23:00:00""}]",
liora2024.com,0601b914-56ce-4765-bd03-ed9223456db5,リオラ,0f8d2286-ee8f-46e3-bcc2-5f5170b9fefb,https://liora2024.com/profile?lid=5,ok,200,0,[],
lippsesthe.com,4e062d91-e4d4-4e0e-9ef9-1341eb1ebbce,リップス (Lipps),3d3286bd-3764-43aa-9ac9-04649ddf9976,https://lippsesthe.com/profile?lid=6,ok,200,0,[],
lirica-osaka.com,892ede6b-7677-456e-b82a-acb212744d21,リリカ大阪,678f987c-90cd-41d1-a445-bd23cb1c1b0a,https://lirica-osaka.com/profile?id=520,ok,200,0,[],
livspa.net,39e800b6-5e3f-4458-8426-c0ba77734d8c,リブスパ,69e7ed84-39ad-4a9b-867d-9b78c1965f72,https://livspa.net/therapist/61918,ok,200,0,[],
love-plus.jp,e7d63718-7c27-4bff-a9b2-127ada46779f,ラブプラス 大阪,3d61b790-9959-4070-9305-fbd5a0ea97aa,https://love-plus.jp/gals/profile/?uid=459,ok,200,0,[],
lovelove-menes.com,9bde137f-691c-4a4e-a797-f6a96344d028,ハイグレードラブ 上野,0f600503-2463-4049-ac48-f3f2f15b75d7,https://lovelove-menes.com/therapist/527889/,ok,200,0,[],
luanaspa.jp,274ebc8c-e8ff-4e40-a5d5-d1bbeae3c69a,ルアナスパ 高崎,e1f95c00-60c3-425a-a5bd-ee5e11635548,https://luanaspa.jp/profile_319.html,http_error,404,0,,HTTP 404 https://luanaspa.jp/profile_319.html
luanaspa.net,4c0c7736-d236-426b-9364-35e1334b0460,Luana SPA (ルアナスパ) 梅田,c83b6499-9ae4-4f99-b04d-b3a3aa84a306,https://luanaspa.net/profile?id=56,http_error,404,0,,HTTP 404 https://luanaspa.net/profile?id=56
luce-esthe.com,65b9a647-96ce-4e7a-ad61-bebd28494003,ルーチェ 大和,c4e8920f-e3c2-4f3c-a727-6560cc0d87db,https://luce-esthe.com/therapist/49308,ok,200,0,[],
lumiere-et-ombre.com,f0282f7f-87c0-4f31-8cfe-e2e9907f10d9,ルミエールエオンブル,778f2c93-ecfe-411d-843f-2c0aecb7e072,https://lumiere-et-ombre.com/profile?lid=8,ok,200,0,[],
lumitia-aroma.men-este.net,128bd270-9070-47f7-8870-4f0421959c0a,Lumitia (ルミティア),27de2769-a0ae-41fc-b731-cc0edc0aa733,https://lumitia-aroma.men-este.net/profile.html?sid=37,ok,200,1,"[{""date"":""2026-05-28"",""shift_start"":""17:00:00"",""shift_end"":""22:00:00""}]",
lumo-esthe.com,0f41b700-b129-43a3-a78d-0275cce67672,ルモ,a0d15e2c-276e-467c-89cc-5d853f0b0164,https://lumo-esthe.com/casts/cast-6534/,ok,200,6,"[{""date"":""2026-05-23"",""shift_start"":""20:00:00"",""shift_end"":""23:59:00""},{""date"":""2026-05-24"",""shift_start"":""00:00:00"",""shift_end"":""05:00:00""},{""date"":""2026-05-24"",""shift_start"":""20:00:00"",""shift_end"":""23:59:00""}]",
luxentique.net,ed50c522-5d5f-4049-ab84-8f6c924dfa4e,ラグザンティーク,5c16f44b-d2c8-4e00-9a78-e55446eaa199,https://luxentique.net/profile?lid=167,ok,200,0,[],
luxmoment.net,14930011-7f61-4a57-b64f-0a7702ee0de6,ラグモーメント,6dd10a81-c116-47da-91b2-d07595171b0c,https://luxmoment.net/profile?id=41,ok,200,0,[],
m-grandspa.com,cb2b3c4d-02ea-4036-b657-3d1434bd80fa,グランドスパ,b2131107-cc9a-46c8-8d46-16ba4f2f6f09,https://m-grandspa.com/profile?id=165,ok,200,0,[],
